timestamp,ID,plot,species,size_class,flora_pulse_sensor,wp_MPa
2023-05-27T17:30:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.45997999999999994
2023-05-27T17:45:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.45602
2023-05-27T18:00:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.45997999999999994
2023-05-27T18:15:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.46129999999999993
2023-05-27T18:30:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.45997999999999994
2023-05-27T18:45:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.46327999999999997
2023-05-27T19:00:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.46129999999999993
2023-05-27T19:15:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.46724
2023-05-27T19:30:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.45997999999999994
2023-05-27T19:45:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.46327999999999997
2023-05-27T20:00:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.45997999999999994
2023-05-27T20:15:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.458
2023-05-27T20:30:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.46129999999999993
2023-05-27T20:45:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.46327999999999997
2023-05-27T21:00:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.46129999999999993
2023-05-27T21:15:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.45997999999999994
2023-05-27T21:30:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.46129999999999993
2023-05-27T21:45:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.46327999999999997
2023-05-27T22:00:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.45997999999999994
2023-05-27T22:15:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.45997999999999994
2023-05-27T22:30:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.45997999999999994
2023-05-27T22:45:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.45997999999999994
2023-05-27T23:00:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.46327999999999997
2023-05-27T23:15:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.46129999999999993
2023-05-27T23:30:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.46129999999999993
2023-05-27T23:45:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.45997999999999994
2023-05-28T00:00:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.46129999999999993
2023-05-28T00:15:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.46327999999999997
2023-05-28T00:30:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.46129999999999993
2023-05-28T00:45:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.45997999999999994
2023-05-28T01:00:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.45602
2023-05-28T01:15:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.458
2023-05-28T01:30:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.45404
2023-05-28T01:45:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.45997999999999994
2023-05-28T02:00:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.458
2023-05-28T02:15:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.45997999999999994
2023-05-28T02:30:00Z,TFE_116,TFE,Pouteria ramiflora,small,A210,-0.45997999999999994
