"TOA5","CR10XPBXE 3195","","","","","","TFE_Sation1"
"TIMESTAMP","RECORD","A211_AVG","B279_AVG","A210_AVG"
"TS","RN","","",""
"","","","",""
"2023-05-27 17:30:00",0,-3.054,-1.634,0.014
"2023-05-27 17:45:00",1,-3.051,-1.64,0.008
"2023-05-27 18:00:00",2,-3.062,-1.653,0.014
"2023-05-27 18:15:00",3,-3.062,-1.675,0.016
"2023-05-27 18:30:00",4,-3.062,-1.684,0.014
"2023-05-27 18:45:00",5,-3.076,-1.7,0.019
"2023-05-27 19:00:00",6,-3.115,-1.711,0.016
"2023-05-27 19:15:00",7,-3.148,-1.741,0.025
"2023-05-27 19:30:00",8,-3.142,-1.736,0.014
"2023-05-27 19:45:00",9,-3.142,-1.747,0.019
"2023-05-27 20:00:00",10,-3.153,-1.752,0.014
"2023-05-27 20:15:00",11,-3.159,-1.741,0.011
"2023-05-27 20:30:00",12,-3.17,-1.761,0.016
"2023-05-27 20:45:00",13,-3.164,-1.761,0.019
"2023-05-27 21:00:00",14,-3.175,-1.758,0.016
"2023-05-27 21:15:00",15,-3.17,-1.761,0.014
"2023-05-27 21:30:00",16,-3.17,-1.739,0.016
"2023-05-27 21:45:00",17,-3.17,-1.766,0.019
"2023-05-27 22:00:00",18,-3.17,-1.763,0.014
"2023-05-27 22:15:00",19,-3.175,-1.774,0.014
"2023-05-27 22:30:00",20,-3.172,-1.763,0.014
"2023-05-27 22:45:00",21,-3.172,-1.75,0.014
"2023-05-27 23:00:00",22,-3.175,-1.758,0.019
"2023-05-27 23:15:00",23,-3.17,-1.763,0.016
"2023-05-27 23:30:00",24,-3.172,-1.763,0.016
"2023-05-27 23:45:00",25,-3.17,-1.752,0.014
"2023-05-28 00:00:00",26,-3.181,-1.255,0.016
"2023-05-28 00:15:00",27,-3.192,-0.711,0.019
"2023-05-28 00:30:00",28,-3.181,-0.538,0.016
"2023-05-28 00:45:00",29,-3.183,-0.494,0.014
"2023-05-28 01:00:00",30,-3.178,-0.481,0.008
"2023-05-28 01:15:00",31,-3.181,-0.536,0.011
"2023-05-28 01:30:00",32,-3.172,-0.437,0.005
"2023-05-28 01:45:00",33,-3.181,-0.434,0.014
"2023-05-28 02:00:00",34,-3.178,-0.36,0.011
"2023-05-28 02:15:00",35,-3.181,-0.255,0.014
"2023-05-28 02:30:00",36,-3.186,-0.151,0.014
"2023-05-28 02:45:00",37,-3.181,-0.058,0.011
"2023-05-28 03:00:00",38,-3.178,0.022,0.016
"2023-05-28 03:15:00",39,-3.181,0.11,0.014
"2023-05-28 03:30:00",40,-3.172,0.157,0.011
"2023-05-28 03:45:00",41,-3.183,0.209,0.011
"2023-05-28 04:00:00",42,-3.175,0.258,0.014
"2023-05-28 04:15:00",43,-3.178,0.313,0.011
"2023-05-28 04:30:00",44,-3.178,0.371,0.016
"2023-05-28 04:45:00",45,-3.181,0.412,0.014
"2023-05-28 05:00:00",46,-3.178,0.437,0.014
"2023-05-28 05:15:00",47,-3.178,0.478,0.014
"2023-05-28 05:30:00",48,-3.175,0.511,0.014
"2023-05-28 05:45:00",49,-3.178,0.577,0.014
"2023-05-28 06:00:00",50,-3.178,0.621,0.008
"2023-05-28 06:15:00",51,-3.178,0.648,0.014
"2023-05-28 06:30:00",52,-3.178,0.67,0.014
"2023-05-28 06:45:00",53,-3.178,0.687,0.011
"2023-05-28 07:00:00",54,-3.178,0.709,0.016
"2023-05-28 07:15:00",55,-3.178,0.75,0.019
"2023-05-28 07:30:00",56,-3.178,0.769,0.014
"2023-05-28 07:45:00",57,-3.175,0.824,0.014
"2023-05-28 08:00:00",58,-3.175,0.857,0.014
"2023-05-28 08:15:00",59,-3.172,0.884,0.014
"2023-05-28 08:30:00",60,-3.175,0.92,0.014
"2023-05-28 08:45:00",61,-3.172,0.964,0.011
