"TOA5","CR10XPB_XE1075","","","","","","TFE_WP_Station2"
"TIMESTAMP","RECORD","B289_AVG","B521_AVG","B245_AVG","B105_AVG","B138_AVG","B576_AVG","B133_AVG"
"TS","RN","","","","","","",""
"","","","","","","","",""
"2023-05-27 17:15:00",0,-6.343,9.36,1.134,2.319,2.418,2.542,2.724
"2023-05-27 17:30:00",1,-6.326,9.34,1.123,2.319,2.421,2.542,2.722
"2023-05-27 17:45:00",2,-6.335,9.36,1.154,2.31,2.401,2.52,2.719
"2023-05-27 18:00:00",3,-6.351,9.33,1.151,2.285,2.39,2.515,2.691
"2023-05-27 18:15:00",4,-6.379,9.31,1.151,2.274,2.379,2.504,2.683
"2023-05-27 18:30:00",5,-6.412,9.28,1.14,2.258,2.363,2.498,2.675
"2023-05-27 18:45:00",6,-6.44,9.35,1.154,2.247,2.366,2.473,2.667
"2023-05-27 19:00:00",7,-6.44,9.27,1.154,2.239,2.338,2.457,2.658
"2023-05-27 19:15:00",8,-6.498,9.25,1.157,2.222,2.338,2.454,2.645
"2023-05-27 19:30:00",9,-6.512,9.3,1.182,2.222,2.333,2.46,2.65
"2023-05-27 19:45:00",10,-6.537,9.18,1.204,2.231,2.338,2.465,2.656
"2023-05-27 20:00:00",11,-6.546,9.27,1.206,2.228,2.33,2.454,2.645
"2023-05-27 20:15:00",12,-6.518,9.2,1.251,2.25,2.352,2.468,2.645
"2023-05-27 20:30:00",13,-6.532,9.21,1.256,2.242,2.358,2.471,2.653
"2023-05-27 20:45:00",14,-6.554,9.19,1.364,2.308,2.405,2.521,2.706
"2023-05-27 21:00:00",15,-6.56,9.05,1.309,2.258,2.363,2.482,2.659
"2023-05-27 21:15:00",16,-6.607,9.03,1.303,2.25,2.358,2.471,2.659
"2023-05-27 21:30:00",17,-6.626,8.98,1.309,2.256,2.355,2.471,2.656
"2023-05-27 21:45:00",18,-6.615,9.12,1.317,2.253,2.363,2.485,2.659
"2023-05-27 22:00:00",19,-6.621,9.15,1.314,2.261,2.363,2.477,2.659
"2023-05-27 22:15:00",20,-6.673,8.79,1.336,2.27,2.366,2.488,2.675
"2023-05-27 22:30:00",21,-6.693,9.03,1.339,2.261,2.374,2.488,2.667
"2023-05-27 22:45:00",22,-6.659,9.2,1.35,2.272,2.372,2.49,2.678
"2023-05-27 23:00:00",23,-6.64,9.19,1.369,2.281,2.388,2.499,2.689
"2023-05-27 23:15:00",24,-6.618,9.15,1.339,2.264,2.366,2.49,2.678
"2023-05-27 23:30:00",25,-6.637,9.03,1.356,2.261,2.377,2.496,2.686
"2023-05-27 23:45:00",26,-6.668,9.13,1.422,2.308,2.421,2.54,2.725
"2023-05-28 00:00:00",27,-7.013,8.07,1.447,2.308,2.435,2.551,2.725
"2023-05-28 00:15:00",28,-7.132,8.03,1.524,2.38,2.488,2.601,2.778
"2023-05-28 00:30:00",29,-7.049,8.21,1.441,2.316,2.419,2.543,2.708
"2023-05-28 00:45:00",30,-7.035,8.3,1.4,2.272,2.38,2.496,2.684
"2023-05-28 01:00:00",31,-6.952,8.65,1.347,2.247,2.358,2.474,2.648
"2023-05-28 01:15:00",32,-6.938,8.67,1.322,2.212,2.327,2.446,2.615
"2023-05-28 01:30:00",33,-6.947,8.74,1.314,2.195,2.316,2.432,2.606
"2023-05-28 01:45:00",34,-6.98,8.57,1.306,2.187,2.305,2.419,2.59
"2023-05-28 02:00:00",35,-6.985,8.72,1.303,2.187,2.314,2.427,2.598
"2023-05-28 02:15:00",36,-6.891,8.8,1.331,2.192,2.311,2.427,2.604
"2023-05-28 02:30:00",37,-6.933,8.85,1.303,2.192,2.303,2.424,2.598
"2023-05-28 02:45:00",38,-6.844,9.04,1.342,2.203,2.311,2.438,2.604
"2023-05-28 03:00:00",39,-6.811,9.05,1.345,2.198,2.311,2.435,2.598
"2023-05-28 03:15:00",40,-6.795,9.07,1.386,2.231,2.341,2.463,2.628
"2023-05-28 03:30:00",41,-6.872,9.02,1.397,2.234,2.35,2.474,2.634
"2023-05-28 03:45:00",42,-6.872,8.98,1.447,2.272,2.399,2.504,2.678
"2023-05-28 04:00:00",43,-6.828,8.56,1.392,2.239,2.344,2.468,2.639
"2023-05-28 04:15:00",44,-6.808,8.78,1.4,2.239,2.35,2.466,2.637
"2023-05-28 04:30:00",45,-6.814,8.74,1.405,2.242,2.352,2.471,2.656
"2023-05-28 04:45:00",46,-6.8,8.68,1.494,2.314,2.443,2.551,2.714
"2023-05-28 05:00:00",47,-6.781,8.74,1.483,2.297,2.427,2.554,2.725
"2023-05-28 05:15:00",48,-6.715,8.84,1.427,2.25,2.38,2.507,2.684
"2023-05-28 05:30:00",49,-6.734,8.76,1.524,2.314,2.432,2.557,2.728
"2023-05-28 05:45:00",50,-6.72,8.84,1.516,2.3,2.424,2.54,2.728
"2023-05-28 06:00:00",51,-6.695,8.79,1.588,2.347,2.471,2.59,2.766
"2023-05-28 06:15:00",52,-6.693,8.83,1.648,2.391,2.518,2.637,2.802
"2023-05-28 06:30:00",53,-6.704,8.79,1.612,2.374,2.479,2.612,2.786
"2023-05-28 06:45:00",54,-6.72,8.95,1.646,2.391,2.51,2.628,2.797
"2023-05-28 07:00:00",55,-6.715,8.93,1.67,2.399,2.529,2.648,2.811
"2023-05-28 07:15:00",56,-6.706,8.89,1.759,2.474,2.593,2.703,2.874
"2023-05-28 07:30:00",57,-6.676,8.81,1.648,2.377,2.504,2.628,2.797
"2023-05-28 07:45:00",58,-6.626,8.94,1.651,2.377,2.518,2.631,2.808
"2023-05-28 08:00:00",59,-6.615,8.68,1.72,2.435,2.565,2.695,2.858
"2023-05-28 08:15:00",60,-6.585,8.19,1.803,2.512,2.642,2.744,2.91
"2023-05-28 08:30:00",61,-6.554,8.25,1.938,2.601,2.733,2.844,3.026
"2023-05-28 08:45:00",62,-6.513,8.29,1.935,2.606,2.733,2.852,3.023
"2023-05-28 09:00:00",63,-6.483,8.32,1.96,2.637,2.764,2.88,3.048
"2023-05-28 09:15:00",64,-6.458,8.38,2.068,2.7,2.833,2.965,3.131
"2023-05-28 09:30:00",65,-6.441,8.44,2.032,2.695,2.819,2.932,3.095
"2023-05-28 09:45:00",66,-6.405,8.49,2.087,2.733,2.847,2.706,3.076
"2023-05-28 10:00:00",67,-6.345,8.56,2.167,2.802,2.913,3.026,3.197
"2023-05-28 10:15:00",68,-6.328,8.59,2.292,2.896,3.009,3.117,3.294
"2023-05-28 10:30:00",69,-6.323,8.65,2.231,2.858,2.96,3.087,3.247
"2023-05-28 10:45:00",70,-6.303,8.71,2.203,2.83,2.954,3.051,3.23
"2023-05-28 11:00:00",71,-6.295,8.76,2.217,2.844,2.96,3.073,3.228
"2023-05-28 11:15:00",72,-6.275,8.82,2.242,2.871,2.99,3.095,3.255
"2023-05-28 11:30:00",73,-6.259,8.87,2.3,2.926,3.02,3.139,3.321
"2023-05-28 11:45:00",74,-6.27,8.86,2.402,2.998,3.106,3.216,3.374
